Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
ATXN7	ENST00000295900.6	ataxin 7 	264	1	1	0	0	0	0	0	0	0	hsa-miR-199b-5p	0.0128	0.0912	0.5403	-0.26	-0.26	0.77	2005, 2007, 2009, 2011
PMP22	ENST00000395938.2	peripheral myelin protein 22 	1152	1	0	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0127	0.0891	0.4913	-0.26	-0.26	0.49	2011
ERLIN1	ENST00000421367.2	ER lipid raft associated 1 	86	1	0	0	1	0	0	0	0	0	hsa-miR-199b-5p	0.0325	0.2187	0.9953	-0.26	-0.26	0.63	2007, 2009, 2011
RNF38	ENST00000259605.6	ring finger protein 38 	348	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0212	0.1384	0.5552	-0.26	-0.28	0.61	2005, 2007, 2009, 2011
WDTC1	ENST00000319394.3	WD and tetratricopeptide repeats 1 	137	1	1	0	0	0	0	0	0	1	hsa-miR-199a-5p	0.0467	0.2678	0.7630	-0.26	-0.26	0.85	2005, 2007, 2009, 2011
XYLT1	ENST00000261381.6	xylosyltransferase I 	159	1	0	0	1	1	0	1	0	1	hsa-miR-199b-5p	0.0273	0.1896	1.0153	-0.26	-0.26	0.47	2011
RASSF3	ENST00000542104.1	Ras association (RalGDS/AF-6) domain family member 3 	461	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0305	0.1949	0.7698	-0.26	-0.28	0.67	2011
DNAJB5	ENST00000545841.1	DnaJ (Hsp40) homolog, subfamily B, member 5 	379	2	0	1	1	0	0	0	0	1	hsa-miR-199a-5p	0.0028	0.0203	0.1410	-0.26	-0.26	0.70	2007
WIPI2	ENST00000288828.4	WD repeat domain, phosphoinositide interacting 2 	1038	1	0	1	0	0	0	0	0	1	hsa-miR-199a-5p	0.0059	0.0422	0.2515	-0.26	-0.26	0.84	2009, 2011
DYRK1A	ENST00000339659.4	dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 1A 	448	1	1	0	0	1	0	0	1	0	hsa-miR-199a-5p	0.0104	0.0751	0.4710	-0.26	-0.34	0.23	NULL
NCSTN	ENST00000294785.5	nicastrin 	578	1	0	0	1	0	0	0	0	1	hsa-miR-199a-5p	0.0099	0.0691	0.3732	-0.26	-0.26	0.69	2009, 2011
ZNF24	ENST00000589881.1	zinc finger protein 24 	1796	1	1	0	0	0	0	0	0	1	hsa-miR-199a-5p	0.0093	0.0666	0.4041	-0.26	-0.26	< 0.1	NULL
HLF	ENST00000226067.5	hepatic leukemia factor 	15	1	0	1	0	0	0	0	0	4	hsa-miR-199b-5p	0.0324	0.2079	0.8328	-0.26	-0.26	0.79	2005, 2007, 2009, 2011
STX4	ENST00000313843.3	syntaxin 4 	53	1	0	1	0	1	1	0	0	0	hsa-miR-199a-5p	0.0180	0.1203	0.5351	-0.26	-0.27	0.40	2007
RUNX1T1	ENST00000523629.1	runt-related transcription factor 1; translocated to, 1 (cyclin D-related) 	9	2	1	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0455	0.2957	1.1707	-0.26	-0.26	0.92	2011
DENND6A	ENST00000311128.5	DENN/MADD domain containing 6A 	139	1	0	1	0	0	0	0	0	1	hsa-miR-199b-5p	0.0132	0.0921	0.4969	-0.26	-0.26	0.58	2007, 2009, 2011
HOXA7	ENST00000242159.3	homeobox A7 	27	1	0	1	0	0	0	0	0	1	hsa-miR-199a-5p	0.0086	0.0611	0.3579	-0.26	-0.26	0.29	2007, 2011
COL5A3	ENST00000264828.3	collagen, type V, alpha 3 	5	1	0	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0135	0.0938	0.4931	-0.25	-0.25	0.67	2005, 2007, 2009, 2011
SEMA3F	ENST00000002829.3	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F 	263	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0095	0.0670	0.3787	-0.25	-0.26	0.54	2009, 2011
TRAF3	ENST00000560371.1	TNF receptor-associated factor 3 	833	1	0	1	0	0	0	0	0	3	hsa-miR-199b-5p	0.0549	0.2962	0.8550	-0.25	-0.35	> 0.99	2011
ATG4D	ENST00000309469.4	autophagy related 4D, cysteine peptidase 	801	1	0	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0075	0.0531	0.2939	-0.25	-0.25	0.66	2009, 2011
DENND2C	ENST00000393276.3	DENN/MADD domain containing 2C 	51	1	0	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0263	0.1777	0.8373	-0.25	-0.25	0.44	NULL
PRPF40A	ENST00000410080.1	PRP40 pre-mRNA processing factor 40 homolog A (S. cerevisiae) 	459	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0176	0.1179	0.5270	-0.25	-0.28	0.78	2009, 2011
TMEM245	ENST00000374586.3	transmembrane protein 245 	1320	1	0	1	0	0	0	0	0	0	hsa-miR-199b-5p	0.0332	0.2148	0.8899	-0.25	-0.25	0.44	2009, 2011
CNN1	ENST00000252456.2	calponin 1, basic, smooth muscle 	96	1	0	0	1	0	0	0	0	0	hsa-miR-199b-5p	0.0040	0.0286	0.1786	-0.25	-0.25	< 0.1	2005, 2007, 2009, 2011
PPP4R1L	ENST00000334187.8	protein phosphatase 4, regulatory subunit 1-like 	27	1	0	1	0	1	0	0	1	0	hsa-miR-199b-5p	0.0184	0.1285	0.6904	-0.25	-0.26	< 0.1	NULL
ARHGAP17	ENST00000441763.2	Rho GTPase activating protein 17 	1337	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0080	0.0568	0.3290	-0.25	-0.25	< 0.1	NULL
PLXNA2	ENST00000367033.3	plexin A2 	8	1	1	0	0	3	0	1	2	0	hsa-miR-199a-5p	0.0544	0.3409	1.3836	-0.25	-0.25	0.94	2007, 2009, 2011
SEC24C	ENST00000345254.4	SEC24 family, member C (S. cerevisiae) 	8215	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0250	0.1634	0.6860	-0.25	-0.25	0.29	2009, 2011
FOXC2	ENST00000320354.4	forkhead box C2 (MFH-1, mesenchyme forkhead 1) 	665	1	0	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0107	0.0741	0.3701	-0.25	-0.25	0.55	NULL
JPH3	ENST00000284262.2	junctophilin 3 	318	1	0	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0168	0.1123	0.4831	-0.24	-0.24	0.76	2005, 2007, 2009, 2011
SNX6	ENST00000396526.3	sorting nexin 6 	254	1	0	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0079	0.0566	0.3440	-0.24	-0.24	0.52	2009, 2011
ZBTB18	ENST00000358704.4	zinc finger and BTB domain containing 18 	935	1	0	1	0	0	0	0	0	1	hsa-miR-199a-5p	0.0189	0.1283	0.6082	-0.24	-0.24	0.49	2005, 2007, 2009, 2011
TET2	ENST00000545826.1	tet methylcytosine dioxygenase 2 	558	1	0	1	0	0	0	0	0	1	hsa-miR-199a-5p	0.0348	0.2389	1.2101	-0.24	-0.24	0.34	NULL
APPBP2	ENST00000083182.3	amyloid beta precursor protein (cytoplasmic tail) binding protein 2 	907	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0219	0.1432	0.5845	-0.24	-0.24	0.86	2005, 2007, 2009, 2011
ACTG1	ENST00000331925.2	actin, gamma 1 	3210	1	0	0	1	0	0	0	0	0	hsa-miR-199b-5p	0.0133	0.0913	0.4530	-0.24	-0.24	0.41	2005, 2007
TAOK1	ENST00000261716.3	TAO kinase 1 	164	1	1	0	0	2	0	1	1	2	hsa-miR-199a-5p	0.0508	0.3338	1.5307	-0.24	-0.24	0.87	2011
ITFG3	ENST00000399932.3	integrin alpha FG-GAP repeat containing 3 	1046	1	1	0	0	0	0	0	0	1	hsa-miR-199a-5p	0.0127	0.0871	0.4285	-0.24	-0.24	0.61	2009, 2011
USP27X	ENST00000508866.2	ubiquitin specific peptidase 27, X-linked 	260	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0121	0.0832	0.4035	-0.24	-0.24	0.43	2011
TRMT1L	ENST00000367504.3	tRNA methyltransferase 1 homolog (S. cerevisiae)-like 	410	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0182	0.1227	0.5637	-0.24	-0.24	< 0.1	NULL
ZNF784	ENST00000591479.1	zinc finger protein 784 	19	1	0	0	1	2	0	2	0	0	hsa-miR-199a-5p	0.0048	0.0349	0.2378	-0.24	-0.24	0.45	NULL
MATN2	ENST00000254898.5	matrilin 2 	371	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0065	0.0470	0.2992	-0.24	-0.24	0.38	2011
SET	ENST00000372692.4	SET nuclear oncogene 	763	1	0	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0155	0.1058	0.5116	-0.24	-0.24	0.46	2005, 2007
PRDM5	ENST00000515109.1	PR domain containing 5 	22	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0067	0.0482	0.2914	-0.24	-0.24	< 0.1	NULL
KIAA1958	ENST00000337530.6	KIAA1958 	117	2	1	0	1	2	0	0	2	1	hsa-miR-199b-5p	0.0439	0.2586	1.0781	-0.24	-0.48	0.92	NULL
GIT1	ENST00000579937.1	G protein-coupled receptor kinase interacting ArfGAP 1 	18	1	1	0	0	0	0	0	0	2	hsa-miR-199a-5p	0.0429	0.2332	0.6102	-0.24	-0.34	0.81	2009, 2011
PREPL	ENST00000541738.1	prolyl endopeptidase-like 	612	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0239	0.1582	0.7108	-0.24	-0.29	< 0.1	NULL
USP37	ENST00000258399.3	ubiquitin specific peptidase 37 	14	1	0	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0211	0.1390	0.5837	-0.24	-0.24	0.78	2009, 2011
CLK2	ENST00000361168.5	CDC-like kinase 2 	77	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0022	0.0157	0.1054	-0.23	-0.23	0.28	NULL
ZNF300	ENST00000427179.1	zinc finger protein 300 	107	2	0	2	0	0	0	0	0	1	hsa-miR-199b-5p	0.0137	0.0974	0.5830	-0.23	-0.23	< 0.1	NULL
SMARCD1	ENST00000394963.4	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1 	952	1	1	0	0	2	0	1	1	0	hsa-miR-199a-5p	0.0153	0.1060	0.5497	-0.23	-0.27	0.68	2005, 2007, 2009, 2011
DEPDC1B	ENST00000265036.5	DEP domain containing 1B 	449	1	0	1	0	0	0	0	0	0	hsa-miR-199b-5p	0.0073	0.0523	0.3085	-0.23	-0.26	0.60	2009, 2011
MINPP1	ENST00000371994.4	multiple inositol-polyphosphate phosphatase 1 	1079	1	0	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0070	0.0501	0.3014	-0.23	-0.23	0.44	NULL
RBBP4	ENST00000373493.5	retinoblastoma binding protein 4 	486	1	0	1	0	0	0	0	0	1	hsa-miR-199a-5p	0.0180	0.1256	0.6713	-0.23	-0.23	< 0.1	2009, 2011
RORB	ENST00000376896.3	RAR-related orphan receptor B 	5	1	0	1	0	1	0	0	1	1	hsa-miR-199b-5p	0.0153	0.1102	0.7060	-0.23	-0.23	0.83	2005, 2007, 2009, 2011
HIF1A	ENST00000323441.6	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor) 	1955	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0119	0.0826	0.4172	-0.23	-0.23	> 0.99	2005, 2007, 2009, 2011
DDX3Y	ENST00000336079.3	DEAD (Asp-Glu-Ala-Asp) box helicase 3, Y-linked 	5	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0134	0.0938	0.4998	-0.23	-0.23	0.56	2005, 2007, 2009, 2011
THUMPD3	ENST00000345094.3	THUMP domain containing 3 	445	1	0	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0048	0.0346	0.2169	-0.23	-0.23	0.51	NULL
ACER2	ENST00000340967.2	alkaline ceramidase 2 	44	1	0	0	1	1	0	1	0	1	hsa-miR-199a-5p	0.0228	0.1599	0.8753	-0.23	-0.26	0.61	NULL
IKBKB	ENST00000379708.3	inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta 	806	1	1	0	0	0	0	0	0	1	hsa-miR-199b-5p	0.0093	0.0668	0.4107	-0.22	-0.23	< 0.1	2005, 2007, 2009, 2011
ZNF618	ENST00000288466.7	zinc finger protein 618 	778	1	0	0	1	1	1	0	0	2	hsa-miR-199a-5p	0.0237	0.1701	1.0566	-0.22	-0.23	0.81	2007, 2009, 2011
ZNF641	ENST00000301042.3	zinc finger protein 641 	87	1	0	1	0	0	0	0	0	4	hsa-miR-199a-5p	0.0127	0.0919	0.5922	-0.22	-0.30	0.28	NULL
BTRC	ENST00000370187.3	beta-transducin repeat containing E3 ubiquitin protein ligase 	96	1	1	0	0	1	1	0	0	1	hsa-miR-199a-5p	0.0324	0.1873	0.6074	-0.22	-0.51	0.31	2005, 2007
SLC24A4	ENST00000393265.2	solute carrier family 24 (sodium/potassium/calcium exchanger), member 4 	5	1	0	1	0	3	1	1	1	1	hsa-miR-199a-5p	0.0167	0.1162	0.6093	-0.22	-0.55	0.72	2011
TMEM135	ENST00000340353.7	transmembrane protein 135 	963	1	0	0	1	2	0	0	2	0	hsa-miR-199a-5p	0.0240	0.1543	0.5850	-0.22	-0.37	0.66	2007, 2009, 2011
ZBTB37	ENST00000367701.5	zinc finger and BTB domain containing 37 	213	1	1	0	0	3	0	2	1	3	hsa-miR-199b-5p	0.0488	0.3450	1.9826	-0.22	-0.24	0.57	NULL
SMARCAD1	ENST00000354268.4	SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1 	371	1	0	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0151	0.1028	0.4889	-0.22	-0.22	0.72	2005, 2007, 2009, 2011
CLIP1	ENST00000361654.4	CAP-GLY domain containing linker protein 1 	17	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0418	0.2171	0.5244	-0.22	-0.38	0.87	2007, 2009, 2011
TRPM4	ENST00000252826.5	transient receptor potential cation channel, subfamily M, member 4 	295	1	0	1	0	0	0	0	0	0	hsa-miR-199b-5p	0.0063	0.0449	0.2713	-0.21	-0.21	0.37	2009, 2011
FXR1	ENST00000357559.4	fragile X mental retardation, autosomal homolog 1 	434	2	0	1	1	0	0	0	0	0	hsa-miR-199a-5p	0.0077	0.0558	0.3531	-0.21	-0.21	0.98	2007, 2009, 2011
LAMC1	ENST00000258341.4	laminin, gamma 1 (formerly LAMB2) 	1082	1	0	1	0	0	0	0	0	1	hsa-miR-199a-5p	0.0186	0.1266	0.6229	-0.21	-0.31	0.88	2005, 2007, 2009, 2011
EPB41L3	ENST00000341928.2	erythrocyte membrane protein band 4.1-like 3 	179	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0070	0.0497	0.2875	-0.21	-0.21	0.28	NULL
FAM169A	ENST00000380515.3	family with sequence similarity 169, member A 	90	1	0	1	0	1	0	0	1	2	hsa-miR-199b-5p	0.0154	0.1106	0.6822	-0.21	-0.21	< 0.1	NULL
SLC35E1	ENST00000595753.1	solute carrier family 35, member E1 	4273	1	1	0	0	1	0	0	1	3	hsa-miR-199a-5p	0.0254	0.1417	0.5507	-0.21	-0.57	0.93	2009, 2011
FBXO33	ENST00000298097.7	F-box protein 33 	306	1	0	0	1	1	1	0	0	1	hsa-miR-199a-5p	0.0143	0.0971	0.4652	-0.21	-0.51	0.51	2005, 2007, 2009, 2011
RGS17	ENST00000367225.2	regulator of G-protein signaling 17 	11	1	0	1	0	1	0	1	0	0	hsa-miR-199a-5p	0.0146	0.1032	0.5834	-0.21	-0.37	0.71	NULL
ZMAT2	ENST00000274712.3	zinc finger, matrin-type 2 	1926	1	0	0	1	1	0	0	1	0	hsa-miR-199a-5p	0.0066	0.0467	0.2659	-0.21	-0.28	0.41	NULL
TIGD5	ENST00000504548.2	tigger transposable element derived 5 	823	1	0	0	1	0	0	0	0	2	hsa-miR-199a-5p	0.0090	0.0632	0.3447	-0.21	-0.21	0.75	2011
XPOT	ENST00000332707.5	exportin, tRNA 	887	1	0	1	0	1	0	0	1	1	hsa-miR-199a-5p	0.0091	0.0650	0.3911	-0.21	-0.31	0.36	NULL
SRGAP3	ENST00000383836.3	SLIT-ROBO Rho GTPase activating protein 3 	38	1	0	0	1	2	1	1	0	1	hsa-miR-199b-5p	0.0139	0.0960	0.4930	-0.21	-0.34	0.65	2005, 2007, 2009, 2011
RFX3	ENST00000382004.3	regulatory factor X, 3 (influences HLA class II expression) 	37	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0433	0.2430	0.7255	-0.21	-0.29	0.87	NULL
STAG1	ENST00000383202.2	stromal antigen 1 	94	1	0	0	1	1	0	0	1	0	hsa-miR-199a-5p	0.0201	0.1419	0.8037	-0.21	-0.24	0.51	NULL
CLCN3	ENST00000513761.1	chloride channel, voltage-sensitive 3 	1142	2	1	0	1	1	0	0	1	0	hsa-miR-199a-5p	0.0261	0.1435	0.5414	-0.21	-0.71	0.97	NULL
ZCCHC2	ENST00000269499.5	zinc finger, CCHC domain containing 2 	13	1	0	1	0	1	0	1	0	0	hsa-miR-199a-5p	0.0302	0.2098	1.1043	-0.20	-0.20	0.36	2005, 2007, 2011
MN1	ENST00000302326.4	meningioma (disrupted in balanced translocation) 1 	15	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0248	0.1588	0.6006	-0.20	-0.20	0.75	2009, 2011
HSPBAP1	ENST00000383659.1	HSPB (heat shock 27kDa) associated protein 1 	22	1	0	1	0	0	0	0	0	1	hsa-miR-199a-5p	0.0118	0.0844	0.5140	-0.20	-0.29	< 0.1	NULL
STRADB	ENST00000392249.2	STE20-related kinase adaptor beta 	12	1	0	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0061	0.0438	0.2823	-0.20	-0.20	0.44	2007, 2009
VEGFA	ENST00000417285.2	vascular endothelial growth factor A 	907	1	0	0	1	0	0	0	0	1	hsa-miR-199a-5p	0.0119	0.0822	0.4078	-0.20	-0.21	0.56	2007, 2009, 2011
GMEB1	ENST00000373816.1	glucocorticoid modulatory element binding protein 1 	154	1	1	0	0	1	0	0	1	0	hsa-miR-199a-5p	0.0395	0.2282	0.6667	-0.20	-0.24	0.63	2011
EPHA7	ENST00000369303.4	EPH receptor A7 	213	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0184	0.1281	0.6942	-0.20	-0.20	0.45	2005, 2007, 2009, 2011
CLOCK	ENST00000309964.4	clock circadian regulator 	86	1	1	0	0	1	0	1	0	0	hsa-miR-199a-5p	0.0935	0.4785	1.3144	-0.20	-0.20	0.85	NULL
PI4KA	ENST00000255882.6	phosphatidylinositol 4-kinase, catalytic, alpha 	5	1	0	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0068	0.0482	0.2776	-0.20	-0.20	0.64	2009, 2011
UBE2Q1	ENST00000292211.4	ubiquitin-conjugating enzyme E2Q family member 1 	3046	1	0	0	1	1	0	0	1	0	hsa-miR-199b-5p	0.0061	0.0443	0.2874	-0.20	-0.23	0.61	2007, 2009, 2011
SORL1	ENST00000260197.7	sortilin-related receptor, L(DLR class) A repeats containing 	40	1	0	1	0	1	0	1	0	0	hsa-miR-199a-5p	0.0286	0.2024	1.1542	-0.20	-0.29	0.50	NULL
SRRM4	ENST00000267260.4	serine/arginine repetitive matrix 4 	22	1	0	1	0	1	0	0	1	2	hsa-miR-199b-5p	0.0435	0.2663	0.9576	-0.20	-0.20	0.60	2009, 2011
OSTM1	ENST00000193322.3	osteopetrosis associated transmembrane protein 1 	63	1	0	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0254	0.1676	0.7273	-0.20	-0.22	0.53	2005, 2007, 2011
NOTUM	ENST00000409678.3	notum pectinacetylesterase homolog (Drosophila) 	10	1	0	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0132	0.0902	0.4343	-0.20	-0.20	0.68	2009, 2011
ETV6	ENST00000396373.4	ets variant 6 	44	1	1	0	0	1	0	0	1	1	hsa-miR-199a-5p	0.0183	0.1221	0.5382	-0.20	-0.25	0.55	2011
PPP6C	ENST00000373547.4	protein phosphatase 6, catalytic subunit 	346	1	1	0	0	0	0	0	0	1	hsa-miR-199a-5p	0.0438	0.2122	0.5946	-0.20	-0.68	0.88	2011
MYH9	ENST00000216181.5	myosin, heavy chain 9, non-muscle 	1317	1	0	1	0	1	1	0	0	1	hsa-miR-199a-5p	0.0230	0.1470	0.5546	-0.20	-0.31	0.83	2005, 2007, 2009, 2011
ZNF415	ENST00000597503.1	zinc finger protein 415 	38	1	1	0	0	1	0	1	0	0	hsa-miR-199a-5p	0.0067	0.0472	0.2749	-0.20	-0.51	< 0.1	NULL
MINOS1-NBL1	ENST00000602662.1	MINOS1-NBL1 readthrough 	852	1	0	0	1	0	0	0	0	1	hsa-miR-199a-5p	0.0046	0.0330	0.2100	-0.19	-0.19	0.43	2011
ITGA4	ENST00000397033.2	integrin, alpha 4 (antigen CD49D, alpha 4 subunit of VLA-4 receptor) 	29	1	0	1	0	0	0	0	0	1	hsa-miR-199b-5p	0.0147	0.1045	0.6175	-0.19	-0.20	0.35	2009, 2011
HHIP	ENST00000296575.3	hedgehog interacting protein 	65	1	0	0	1	1	0	1	0	2	hsa-miR-199a-5p	0.0127	0.0903	0.5420	-0.19	-0.42	0.48	NULL
NBL1	ENST00000375136.3	neuroblastoma 1, DAN family BMP antagonist 	852	1	0	0	1	0	0	0	0	1	hsa-miR-199a-5p	0.0046	0.0330	0.2100	-0.19	-0.19	0.43	2011
ZNF148	ENST00000360647.4	zinc finger protein 148 	230	1	0	1	0	1	0	1	0	0	hsa-miR-199a-5p	0.0317	0.1964	0.7511	-0.19	-0.38	0.64	2007, 2009, 2011
FAM76B	ENST00000358780.5	family with sequence similarity 76, member B 	186	1	0	1	0	0	0	0	0	0	hsa-miR-199b-5p	0.0166	0.1140	0.5591	-0.19	-0.22	0.30	NULL
SLAMF8	ENST00000289707.5	SLAM family member 8 	5	1	1	0	0	0	0	0	0	0	hsa-miR-199a-5p	0.0057	0.0410	0.2697	-0.19	-0.19	0.22	2009, 2011
AUTS2	ENST00000342771.4	autism susceptibility candidate 2 	198	1	1	0	0	0	0	0	0	0	hsa-miR-199b-5p	0.0271	0.1566	0.4801	-0.19	-0.38	0.84	2005, 2007, 2009, 2011
ONECUT2	ENST00000491143.2	one cut homeobox 2 	847	1	1	0	0	0	0	0	0	2	hsa-miR-199a-5p	0.0470	0.2671	0.9575	-0.19	-0.35	0.88	2007, 2009, 2011
SLC25A37	ENST00000519973.1	solute carrier family 25 (mitochondrial iron transporter), member 37 	145	1	1	0	0	0	0	0	0	1	hsa-miR-199b-5p	0.0229	0.1316	0.3996	-0.19	-0.49	0.93	NULL
ZFP91	ENST00000316059.6	ZFP91 zinc finger protein 	688	1	0	1	0	1	0	0	1	0	hsa-miR-199a-5p	0.0099	0.0710	0.4275	-0.19	-0.19	0.39	2005, 2007, 2011
PPM1L	ENST00000498165.1	protein phosphatase, Mg2+/Mn2+ dependent, 1L 	59	1	0	1	0	2	0	1	1	2	hsa-miR-199a-5p	0.0176	0.1255	0.7419	-0.19	-0.20	0.52	2011
ZNF394	ENST00000426306.2	zinc finger protein 394 	77	2	0	2	0	0	0	0	0	0	hsa-miR-199a-5p	0.0046	0.0335	0.2236	-0.19	-0.19	< 0.1	NULL
ARHGEF5	ENST00000056217.5	Rho guanine nucleotide exchange factor (GEF) 5 	200	1	0	0	1	1	1	0	0	0	hsa-miR-199a-5p	0.0092	0.0653	0.3873	-0.19	-0.29	0.56	2005, 2007, 2011
FSD1	ENST00000597590.1	fibronectin type III and SPRY domain containing 1 	81	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0036	0.0262	0.1771	-0.19	-0.20	0.41	2009, 2011
ROCK1	ENST00000399799.2	Rho-associated, coiled-coil containing protein kinase 1 	7	1	0	0	1	0	0	0	0	0	hsa-miR-199b-5p	0.0439	0.2632	0.8809	-0.19	-0.19	0.83	2007, 2009, 2011
KANK2	ENST00000586659.1	KN motif and ankyrin repeat domains 2 	1735	1	0	0	1	0	0	0	0	1	hsa-miR-199b-5p	0.0104	0.0743	0.4439	-0.19	-0.19	0.49	2005, 2007, 2011
SOX4	ENST00000244745.1	SRY (sex determining region Y)-box 4 	2736	1	0	0	1	1	0	0	1	0	hsa-miR-199a-5p	0.0228	0.1573	0.7783	-0.19	-0.25	0.79	2005, 2007, 2009, 2011
ARHGAP29	ENST00000260526.6	Rho GTPase activating protein 29 	451	1	0	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0072	0.0518	0.3163	-0.19	-0.19	0.49	2007, 2009, 2011
RRAGC	ENST00000373001.3	Ras-related GTP binding C 	1062	1	0	0	1	0	0	0	0	2	hsa-miR-199b-5p	0.0040	0.0290	0.2002	-0.19	-0.22	0.78	NULL
SNN	ENST00000329565.5	stannin 	663	1	0	0	1	0	0	0	0	3	hsa-miR-199a-5p	0.0122	0.0857	0.4634	-0.19	-0.20	0.62	2005, 2007, 2009, 2011
RFESD	ENST00000513950.2	Rieske (Fe-S) domain containing 	15	1	0	0	1	0	0	0	0	1	hsa-miR-199b-5p	0.0020	0.0150	0.1031	-0.19	-0.22	< 0.1	NULL
KLF9	ENST00000377126.2	Kruppel-like factor 9 	20	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0146	0.1025	0.5635	-0.19	-0.19	0.31	NULL
AFTPH	ENST00000238856.4	aftiphilin 	6	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0171	0.1149	0.5180	-0.18	-0.18	0.52	2007, 2009, 2011
SLC24A2	ENST00000341998.2	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2 	5	1	0	0	1	3	0	2	1	0	hsa-miR-199a-5p	0.0230	0.1618	0.9117	-0.18	-0.18	0.50	2011
NUPL1	ENST00000381736.3	nucleoporin like 1 	268	1	0	0	1	0	0	0	0	0	hsa-miR-199b-5p	0.0078	0.0549	0.3063	-0.18	-0.18	0.59	2005, 2007, 2009, 2011
ARHGEF12	ENST00000397843.2	Rho guanine nucleotide exchange factor (GEF) 12 	815	1	1	0	0	0	0	0	0	1	hsa-miR-199a-5p	0.0429	0.2623	0.9500	-0.18	-0.19	0.87	2009, 2011
AGO1	ENST00000373204.4	argonaute RISC catalytic component 1 	402	3	0	0	3	1	0	1	0	4	hsa-miR-199a-5p	0.0148	0.1070	0.6804	-0.18	-0.18	0.95	2005, 2007, 2009, 2011
SYT14	ENST00000399639.2	synaptotagmin XIV 	16	1	0	0	1	0	0	0	0	0	hsa-miR-199a-5p	0.0089	0.0640	0.3956	-0.18	-0.18	< 0.1	NULL
CAV1	ENST00000405348.1	caveolin 1, caveolae protein, 22kDa 	415	1	0	1	0	0	0	0	0	0	hsa-miR-199a-5p	0.0088	0.0604	0.2890	-0.18	-0.26	0.46	2005, 2007, 2009, 2011
EXOSC3	ENST00000396521.3	exosome component 3 	1657	1	0	0	1	0	0	0	0	0	hsa-miR-199b-5p	0.0019	0.0135	0.0922	-0.18	-0.18	< 0.1	NULL
